OBECJTID,COUNTY,SCHOOL,ADDRESS,ROLL_NUMBE,PHONE,ENROLLMENT,GENDER,GAELTACHT,DENOMINATI,DIOCESE,PARISH,EASTING_,NORTHING
1788,Dublin Belgard/South,S N BHAILE EAMONN,RATHFARNHAM  DUBLIN 14,17953F,01 4933255,93,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYBODEN,313507.594,225592.813
1789,Dun Laoghaire - Rathdown,SCOIL CAOIMHIN NAOFA,MOUNT MERRION  BLACKROCK  CO DUBLIN,17954H,01 2887108,291,Mixed,Ordinary School,CATHOLIC,DUBLIN,MOUNT MERRION,319730.176,228238.297
1793,Dublin Fingal,S N LUSCA,LUSK  CO DUBLIN,17961E,01 8437738,500,Mixed,Ordinary School,CATHOLIC,DUBLIN,LUSK,321539.250,254787.844
1799,Dun Laoghaire - Rathdown,CL SCOIL M NA TROCAIRE,BAILE AN BHOTHAIR  CO BAILE ATHA CLIATH,17970F,01 2884223,225,Girls,Ordinary School,CATHOLIC,DUBLIN,BOOTERSTOWN,320015.000,229822.000
1801,Dublin City,SCOIL ASSAIM B,RAHENY  DUBLIN 5,17976R,01 8314044,266,Boys,Ordinary School,CATHOLIC,DUBLIN,RAHENY,321376.000,238002.000
1802,Dublin City,SCOIL AINE C,RAHENY  DUBLIN 5,17977T,01 8319463,306,Girls,Ordinary School,CATHOLIC,DUBLIN,RAHENY,321376.334,238001.952
1803,Dublin City,NAISCOIL IDE,ALL SAINTS DRIVE  RAHENY  DUBLIN 5,17978V,01 8317688,342,Mixed,Ordinary School,CATHOLIC,DUBLIN,RAHENY,321339.763,237985.589
1804,Dun Laoghaire - Rathdown,S N CNOC AINBHIL,LR KILMACUD RD  STILLORGAN/BLACKROCK  CO DUBLIN.,17979A,01 2831148,413,Girls,Ordinary School,CATHOLIC,DUBLIN,KILMACUD,318902.633,227997.737
1813,Dublin Belgard/South,GLEN NA SMOL N S,GLEN NA SMAL  TALLAGHT  DUBLIN 24,17996A,01 4624143,61,Mixed,Ordinary School,CATHOLIC,DUBLIN,BOHERNABREENA,309688.344,222907.375
1842,Dublin Fingal,ST MARGARETS N S,ST MARGARETS  CO.DUBLIN.,18038B,01 8361669,75,Mixed,Ordinary School,CATHOLIC,DUBLIN,FINGLAS,313010.617,243552.745
1849,Dublin Fingal,SCOIL BRIDE B,BLANCHARDSTOWN  DUBLIN 15,18046A,01 8201299,270,Boys,Ordinary School,CATHOLIC,DUBLIN,BLANCHARDSTOWN,308288.056,238339.369
1850,Dublin Fingal,SCOIL BRIDE C,BLANCHARDSTOWN  DUBLIN 15,18047C,01 8201717,316,Girls,Ordinary School,CATHOLIC,DUBLIN,BLANCHARDSTOWN,308288.056,238339.369
1873,Dublin Fingal,SCOIL MHUIRE MXD,TUCKETTS LANE  HOWTH  CO DUBLIN,18080A,01 8323572,194,Mixed,Ordinary School,CATHOLIC,DUBLIN,HOWTH,328539.330,238848.773
1911,Dublin City,S N NAOMH FEARGAL,FINGLAS WEST  DUBLIN 11,18137D,01 8347609,136,Boys,Ordinary School,CATHOLIC,DUBLIN,FINGLAS WEST,312705.168,238805.022
1928,Dublin City,SN MUIRE NA FREASTOGALA,SIURACHA NA CARTHANACHR  BAILE UAILCIN  BAILE ATHA CLIATH 12,18170B,01 4508309,205,Girls,Ordinary School,CATHOLIC,DUBLIN,WALKINSTOWN,311188.813,231563.705
1929,Dublin City,OUR LADY ASSUMPTION BNS,SIURACHA NA CARTHANACHA  BAILE UAILCIN  BAILE ATHA CLIATH 12,18171D,01 4507613,181,Boys,Ordinary School,CATHOLIC,DUBLIN,WALKINSTOWN,311188.813,231563.705
1931,Dublin Belgard/South,S N BRIOTAS,BRITTAS  CO DUBLIN,18173H,01 4582311,90,Mixed,Ordinary School,CATHOLIC,DUBLIN,SAGGART,303389.719,221610.188
1950,Dublin City,S N AN PHAROISTE,FINGLAS  DUBLIN 11,18205R,01 8347349,65,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,312922.128,238893.229
1990,Dublin City,SN PAROISTE MSN PAROISTE MAITIU NFA,CRANFIELD PLACE  SANDYMOUNT  DUBLIN 4,18282M,01 6603145,115,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,318542.000,233348.000
2010,Dublin Belgard/South,SCOIL LORCAIN B,PALMERSTOWN  DUBLIN 20,18323A,01 6267493,420,Boys,Ordinary School,CATHOLIC,DUBLIN,PALMERSTOWN,308655.000,234793.000
2011,Dublin Belgard/South,SCOIL BRIDE C,PALMERSTOWN  DUBLIN 20,18324C,01 6265431,405,Girls,Ordinary School,CATHOLIC,DUBLIN,PALMERSTOWN,308615.475,234756.186
2033,Dublin City,SCOIL BHREANDAIN,COOLOCK  DUBLIN 5,18360G,01 8319047,192,Boys,Ordinary School,CATHOLIC,DUBLIN,ARTANE,320063.170,238374.281
2034,Dublin City,S N CAITRIONA C,COOLOCK  DUBLIN 5,18361I,01 8480018,261,Girls,Ordinary School,CATHOLIC,DUBLIN,COOLOCK,319940.985,238690.719
2035,Dublin City,S N CAITRIONA NAIONAIN,COOLOCK  DUBLIN 5,18362K,01 8480142,246,Mixed,Ordinary School,CATHOLIC,DUBLIN,COOLOCK,319941.000,238691.000
2048,Dublin City,MARIST NATIONAL SCHOOL,CLOGHER ROAD  CRUMLIN  DUBLIN 12,18386B,01 4541228,264,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,CLOGHER ROAD,313769.042,231977.444
2060,Dublin Belgard/South,ST MARYS SCHOOL,GREENHILLS ROAD  TALLAGHT  DUBLIN 24,18411U,01 4515387,267,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,ST MARY'S",309594.094,227907.332
2061,Dublin Fingal,S N C NAOMH PADRAIG,DONABATE  CO DUBLIN,18412W,01 8436201,406,Girls,Ordinary School,CATHOLIC,DUBLIN,DONABATE,323787.531,250785.859
2083,Dun Laoghaire - Rathdown,SCOIL LORCAIN,CEARNOG EATON  BAILE NA MANACH  CO ATHA CLIATH,18451J,01 2808906,442,Mixed,All Irish School,CATHOLIC,DUBLIN,BLACKROCK,322412.592,228914.313
2087,Dublin City,OUR LADY OF ASSUMPTION,SIURACHA NA CARTHANACHA  BAILE UAILCIN  BAILE ATHA CLIATH 12,18455R,01 4507613,188,Girls,Ordinary School,CATHOLIC,DUBLIN,WALKINSTOWN,311188.813,231563.705
2099,Dublin City,SCOIL NA MBRATHAR,FRANCIS STREET  DUBLIN 8,18477E,01 4531800,129,Boys,Ordinary School,CATHOLIC,DUBLIN,FRANCIS STREET,314930.935,233662.374
2126,Dublin City,SCOIL SEAMUS C B S,JAMES STREET  DUBLIN 8,18519R,01 4534321,143,Boys,Ordinary School,CATHOLIC,DUBLIN,JAMES'S STREET,313986.003,233523.820
2172,Dublin Belgard/South,SCOIL MHUIRE,CLONDALKIN  DUBLIN 22,18602E,01 4592986,350,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,CLONDALKIN,307052.211,230913.376
2180,Dublin Fingal,SCOIL NAISUNTA CHNUACHA,CASTLEKNOCK  DUBLIN 15,18623M,01 8202611,180,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,309049.065,237226.962
2185,Dublin City,S N EOIN BOSCO NAI BUAC,NAVAN RD  DUBLIN 7,18632N,01 8380495,222,Boys,Ordinary School,CATHOLIC,DUBLIN,NAVAN ROAD,312247.738,236649.588
2192,Dublin Belgard/South,S N NAOMH EOIN,TOWER ROAD  CLONDALKIN  DUBLIN 22,18642Q,01 4570680,100,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,307032.631,231340.149
2195,Dublin City,SPRINGDALE N S,SPRINGDALE NS  LOUGH DERG RD  RAHENY  DUBLIN 5,18646B,01 8317149,151,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,321186.439,238421.366
2196,Dun Laoghaire - Rathdown,S N SAN TREASA,THE RISE  MT MERRION  CO DUBLIN,18647D,01 2881505,455,Mixed,Ordinary School,CATHOLIC,DUBLIN,MOUNT MERRION,319401.221,228640.852
2200,Dublin Belgard/South,SCOIL NAOMH SEOSAMH,CLONDALKIN  DUBLIN 22,18655C,01 4592951,375,Boys,Ordinary School,CATHOLIC,DUBLIN,CLONDALKIN,307049.974,230854.987
2212,Dublin City,ST CANICES B N S,FINGLAS  DUBLIN 11,18682F,01 8341585,439,Boys,Ordinary School,CATHOLIC,DUBLIN,FINGLAS,313682.442,239008.310
2213,Dublin City,ST CANICES G N S,FINGLAS  DUBLIN 11,18683H,01 8342072,377,Girls,Ordinary School,CATHOLIC,DUBLIN,FINGLAS,313682.442,239008.310
2236,Dublin City,S N SEOSAMH NA MBRATHAR,FAIRVIEW  DUBLIN 3,18726W,01 8336127,191,Boys,Ordinary School,CATHOLIC,DUBLIN,FAIRVIEW,317635.360,236284.365
2258,Dublin Fingal,S N NAOMH MOCHTA,CLONSILLA  DUBLIN 15,18778S,01 8210499,686,Mixed,Ordinary School,CATHOLIC,DUBLIN,PORTERSTOWN-CLONSILLA,306174.494,238029.651
2266,Dun Laoghaire - Rathdown,KILTERNAN N S 1,KILTERNAN  CO DUBLIN,18806U,01 2955682,338,Mixed,Ordinary School,CATHOLIC,DUBLIN,SANDYFORD,320500.031,222082.781
2268,Dublin City,S N BRIGHDE,CULLENSWOOD HOUSE  BR FEADHA CUILINN  RAGHNALLACH  B A C 6,18817C,01 4973390,316,Mixed,All Irish School,CATHOLIC,DUBLIN,BEECHWOOD AVENUE,316181.176,231567.895
2289,Dun Laoghaire - Rathdown,KILL O THE GRANGE N S,KILL O THE GRANGE  CO DUBLIN,18886V,01 2894578,227,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,322658.192,226870.180
2297,Dublin City,ST MALACHYS B N S,EDENMORE  RAHENY  DUBLIN 5,18968A,01 8478952,223,Boys,Ordinary School,CATHOLIC,DUBLIN,EDENMORE,321101.000,239074.000
2298,Dublin City,ST EITHNES SENIOR G N S,EDENMORE  RAHENY  DUBLIN 5,18969C,01 8480630,127,Girls,Ordinary School,CATHOLIC,DUBLIN,EDENMORE,321083.393,239221.917
2299,Dublin Fingal,S N CHOLMILLE B,SWORDS  CO DUBLIN,18976W,01 8405132,477,Boys,Ordinary School,CATHOLIC,DUBLIN,SWORDS,318629.656,246840.781
2300,Dublin Fingal,S N CHOLMCILLE C,SWORDS  CO DUBLIN,18977B,01 8404168,505,Girls,Ordinary School,CATHOLIC,DUBLIN,SWORDS,318658.493,246751.013
2304,Dublin Fingal,BALLYBOGHILL N S,BALLYBOGHILL  CO DUBLIN,19001G,01 8433469,155,Mixed,Ordinary School,CATHOLIC,DUBLIN,BROOKFIELD,314935.344,253811.859
2305,Dublin City,EOIN BAISDE B SOIS,SEAFIELD RD  CLONTARF  DUBLIN 3,19006Q,01 8336539,336,Boys,Ordinary School,CATHOLIC,DUBLIN,"CLONTARF,ST ANTHONY'S",320044.822,236315.231
2306,Dublin City,EOIN BAISDE C NAOIDH,SEAFIELD ROAD  CLONTARF  DUBLIN 3,19007S,01 8332459,257,Girls,Ordinary School,CATHOLIC,DUBLIN,"CLONTARF,ST JOHN'S",319916.252,236313.585
2309,Dublin City,ST JOSEPHS G N S,BARRY AVENUE  FINGLAS WEST  DUBLIN 11,19015R,01 8342433,205,Girls,Ordinary School,CATHOLIC,DUBLIN,FINGLAS WEST,312514.515,239735.631
2312,Dublin City,ST MONICAS N S,EDENMORE  RAHENY  DUBLIN 5,19037E,01 8480630,85,Girls,Ordinary School,CATHOLIC,DUBLIN,EDENMORE,321083.393,239221.917
2314,Dun Laoghaire - Rathdown,LORETO NATIONAL SCHOOL,DALKEY  CO DUBLIN,19066L,01 2802128,314,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,DALKEY,326689.091,227210.821
2316,Dublin Belgard/South,ST PATRICK GNS,BALLYROAN  RATHFARNHAM  DUBLIN 16,19114T,01 4946566,431,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYROAN,313414.382,227547.415
2317,Dublin Belgard/South,ST PETERS B N S,LIMEKILN RD  GREENHILLS  DUBLIN 12,19158Q,01 4506230,219,Boys,Ordinary School,CATHOLIC,DUBLIN,GREENHILLS,311483.297,229583.876
2318,Dublin Belgard/South,ST PAULS G N S,GREENHILLS  KIMMAGE WEST  DUBLIN 12,19159S,01 4506019,296,Girls,Ordinary School,CATHOLIC,DUBLIN,GREENHILLS,311483.297,229583.876
2321,Dublin Belgard/South,ST PIUS X N S BOYS,FORTFIELD PARK  TERENURE  DUBLIN 6,19177U,01 4903057,505,Boys,Ordinary School,CATHOLIC,DUBLIN,TEMPLEOGUE,313018.851,229365.236
2322,Dublin Belgard/South,ST PIUS X G N S,FORTFIELD PARK  TERENURE  DUBLIN 6,19178W,01 4901052,487,Girls,Ordinary School,CATHOLIC,DUBLIN,TEMPLEOGUE,313018.851,229365.236
2323,Dublin City,ST KEVINS B N S,BARRY AVENUE  FINGLAS NORTH-WEST  DUBLIN 11,19197D,01 8343061,174,Boys,Ordinary School,CATHOLIC,DUBLIN,FINGLAS WEST,312480.062,239641.850
2327,Dublin City,HOLY SPIRIT B N S,SILLOGE RD  BAILE MUNNA  ATHA CLIATH 11,19208F,01 8421230,398,Boys,Ordinary School,CATHOLIC,DUBLIN,SILLOGE,315137.000,239790.000
2329,Dublin Belgard/South,SCOIL NAOMH IDE,CLONDALKIN  DUBLIN 22,19220S,01 4592766,282,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,CLONDALKIN,307187.150,230880.786
2330,Dublin Belgard/South,SCOIL NAOMH AINE,CLONDALKIN  DUBLIN 22,19221U,01 4591645,264,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,CLONDALKIN,307197.374,230827.747
2338,Dublin City,OUR LADY OF VICTORIES INFANT N S,BALLYMUN ROAD  DUBLIN 9,19242F,01 8372372,227,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYMUN,315376.000,238991.000
2348,Dun Laoghaire - Rathdown,SCOIL PADRAIG NAOFA B,HOLLYPARK  FOXROCK  DUBLIN 18,19258U,01 2896042,702,Boys,Ordinary School,CATHOLIC,DUBLIN,FOXROCK,321781.596,227067.330
2349,Dun Laoghaire - Rathdown,ST PATRICKS GNS,FOXROCK AVE  FOXROCK  DUBLIN 18,19259W,01 2893293,470,Girls,Ordinary School,CATHOLIC,DUBLIN,FOXROCK,321747.600,227004.190
2364,Dublin City,CROMCASTLE GREEN B N S,KILMORE RD WEST  ARTANE  DUBLIN 5,19297H,01 8476709,270,Boys,Ordinary School,CATHOLIC,DUBLIN,KILMORE ROAD WEST,318460.676,239785.112
2365,Dublin City,SCOIL NAIS IDE CAILINI,KILMORE ROAD WEST  ARTANE  DUBLIN 5,19298J,01 8476048,199,Girls,Ordinary School,CATHOLIC,DUBLIN,KILMORE ROAD WEST,321339.763,237985.589
2367,Dublin City,SN NA MAIGHDINE MUIRE B,BALLYMUN  DUBLIN 9,19302U,01 8421314,165,Boys,Ordinary School,CATHOLIC,DUBLIN,BALLYMUN,315747.180,239782.388
2368,Dublin City,NA MAIGHDINE MHUIRE,VIRGIN MARY  GIRLS NATIONAL SCHOOL  BALLYMUN  DUBLIN 9,19303W,01 8421614,174,Girls,Ordinary School,CATHOLIC,DUBLIN,BALLYMUN,315747.180,239782.388
2372,Dublin City,ST BRIGIDS BOYS N S,HOWTH ROAD  KILLESTER  DUBLIN 5,19308J,01 8336149,382,Boys,Ordinary School,CATHOLIC,DUBLIN,KILLESTER,320151.194,237561.517
2373,Dublin City,SCOIL NEASAIN,BAILE HARMAIN  BAILE ATH CLIATH 5,19309L,01 8316338,247,Mixed,All Irish School,CATHOLIC,DUBLIN,ARTANE,320063.000,238374.000
2376,Dun Laoghaire - Rathdown,SCOIL NA MAIGHDINE MHUIRE BOY,BROADFORD RISE  BALINTEER  DUBLIN 16,19314E,01 4946647,150,Boys,Ordinary School,CATHOLIC,DUBLIN,BALLINTEER,316257.625,226354.016
2378,Dun Laoghaire - Rathdown,ST OLAFS N S,BALALLY DRIVE  DUNDRUM  DUBLIN 16,19319O,01 2956513,353,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALALLY,321747.600,227004.190
2379,Dun Laoghaire - Rathdown,OUR LADY OF GOOD COUNSEL BOYS N S,JOHNSTOWN  DUN LAOGHAIRE  CO DUBLIN,19320W,01 2851449,421,Boys,Ordinary School,CATHOLIC,DUBLIN,JOHNSTOWN,324248.542,225394.771
2380,Dun Laoghaire - Rathdown,OUR LADY GOOD COUNSEL GNS,JOHNSTOWN  DUN LAOGHAIRE  CO DUBLIN,19321B,01 2853775,434,Girls,Ordinary School,CATHOLIC,DUBLIN,JOHNSTOWN,324228.045,225315.950
2388,Dun Laoghaire - Rathdown,SCOIL NA AINGEAL,NEWTOWNPARK AVE  BLACKROCK  CO DUBLIN,19335M,01 2833961,434,Mixed,Ordinary School,CATHOLIC,DUBLIN,NEWTOWNPARK,321979.510,228443.680
2415,Dun Laoghaire - Rathdown,GARRAN MHUIRE,GOATSTOWN  DUBLIN 14,19374W,01 2988694,325,Mixed,Ordinary School,CATHOLIC,DUBLIN,DUNDRUM,318567.386,228443.721
2423,Dublin Belgard/South,ST MARKS SEN NS,SPRINGFIELD  TALLAGHT  DUBLIN 24,19390U,01 4513138,437,Mixed,Ordinary School,CATHOLIC,DUBLIN,SPRINGFIELD,307602.491,227494.028
2425,Dublin Fingal,MHUIRE IOSEF JUNIOR,VERBENA ESTATE  DUBLIN 13,19393D,01 8326524,445,Mixed,Ordinary School,CATHOLIC,DUBLIN,BAYSIDE,323321.692,239285.264
2427,Dublin City,SCOIL MOBHI,BOTHAR MOBHI  GLASNAOIN  BAILE ATHA CLIATH 9,19395H,01 8379591,263,Mixed,All Irish School,CATHOLIC,DUBLIN,GLASNEVIN,315643.294,237299.095
2428,Dun Laoghaire - Rathdown,NA MAIGHDINE MUIRE GIRL,BALLINTEER  DUBLIN 16,19396J,01 4944052,153,Girls,Ordinary School,CATHOLIC,DUBLIN,BALLINTEER,316255.706,226377.546
2429,Dun Laoghaire - Rathdown,SN GLEN NA GCAORACH,WYVERN  KILLINEY RD  KILLINEY  CO DUBLIN,19400U,01 2856011,255,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,325760.370,225972.426
2433,Dublin City,HOLY TRINITY SEN N S,GRANGE ROAD  DONAGHMEDE  DUBLIN 13,19406J,01 8474695,248,Mixed,Ordinary School,CATHOLIC,DUBLIN,DONAGHMEDE,322402.603,240120.698
2448,Dublin City,SCOIL AN TSEACHTAR LAOCH,BALLYMUN ROAD  DUBLIN 11,19430G,01 8425725,206,Mixed,All Irish School,CATHOLIC,DUBLIN,BALLYMUN,315484.939,239434.031
2449,Dublin City,ST JOSEPHS JNR,BALCURRIS  BALLYMUN  DUBLIN 11,19431I,01 8421801,160,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALCURRIS,315088.000,240365.000
2452,Dublin Fingal,ST FRANCIS XAVIER J N S,ROSELAWN ROAD  CASTLEKNOCK  DUBLIN 15,19435Q,01 8210892,371,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLANCHARDSTOWN,307631.704,238132.538
2454,Dun Laoghaire - Rathdown,SCOIL NAITHI,BAILE AN TSAOIR  DUM DROMA  BAILE ATHA CLIATH 16,19437U,01 2981931,237,Mixed,All Irish School,CATHOLIC,DUBLIN,MEADOWBROOK,316002.000,227155.000
2455,Dun Laoghaire - Rathdown,SCOIL COLMCILLE SENIOR,WYATTVILLE  BALLYBRACK  CO DUBLIN,19438W,01 2855527,174,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYBRACK,324539.872,224254.565
2458,Dublin Belgard/South,SCOIL MHUIRE BOYS,GRANGE ROAD  RATHFARNHAM  DUBLIN 14,19446V,01 4931477,434,Boys,Ordinary School,CATHOLIC,DUBLIN,RATHFARNHAM,314477.395,228514.660
2462,Dublin City,DARNDALE NS JUNIOR,OUR LADY IMMAC JUN NS  DARNDALE  MALAHIDE ROAD  DUBLIN 17,19454U,01 8476643,261,Mixed,Ordinary School,CATHOLIC,DUBLIN,DARNDALE,320206.744,240517.361
2463,Dublin Fingal,ST CRONAN,BRACKENSTOWN  SWORDS  CO. DUBLIN,19456B,01 8402194,618,Mixed,Ordinary School,CATHOLIC,DUBLIN,BRACKENSTOWN,317188.235,246872.955
2467,Dublin Belgard/South,NAOMH MAOLRUAIN,OLD BAWN  TALLAGHT  DUBLIN 24,19462T,01 4513967,352,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,ST MARY'S",309273.356,226500.562
2468,Dublin Belgard/South,NAOMH MAOLRUAIN SENIOR,OLD BAWN  TALLAGHT  DUBLIN 24,19463V,01 4510706,300,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,ST MARY'S",309273.356,226500.562
2469,Dublin Belgard/South,SN NAOMH COLMCILLE,HOMELAWNS  TALLAGHT  DUBLIN 24,19464A,01 4512011,36,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,DODDER",309597.594,227412.359
2470,Dublin Belgard/South,ST KEVINS BOYS,KILNAMANAGH  TALLAGHT  DUBLIN 24,19465C,01 4517925,251,Boys,Ordinary School,CATHOLIC,DUBLIN,KILNAMANAGH,309473.936,229120.092
2471,Dublin Belgard/South,ST KEVINS GIRLS,KILNAMANAGH  TALLAGHT  DUBLIN 24,19466E,01 4517981,215,Girls,Ordinary School,CATHOLIC,DUBLIN,KILNAMANAGH,309473.936,229120.092
2475,Dublin Fingal,ST FRANCIS XAVIER SENIOR N S,COOLMINE  CASTLEKNOCK  DUBLIN 15,19470S,01 8211121,429,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLANCHARDSTOWN,307630.413,238215.605
2476,Dublin City,ST PAULS JUNIOR NATIONAL SCHOOL,AYRFIELD  MALAHIDE RD  DUBLIN 13,19471U,01 8470479,236,Mixed,Ordinary School,CATHOLIC,DUBLIN,AYRFIELD,320878.118,239824.452
2477,Dublin Belgard/South,ST MARKS JUNIOR N S,SPRINGFIELD  TALLAGHT  DUBLIN 24,19472W,01 4512076,545,Mixed,Ordinary School,CATHOLIC,DUBLIN,SPRINGFIELD,307602.491,227494.028
2478,Dublin City,SCOIL BHRIDE,DONAGHMEDE  DUBLIN 13,19473B,01 8470014,336,Mixed,Ordinary School,CATHOLIC,DUBLIN,DONAGHMEDE,322369.704,240109.462
2479,Dublin Belgard/South,SCOIL COLMCILLE NAOFA,KNOCKLYON  TEMPLEOGUE  DUBLIN 16,19474D,01 4947422,702,Mixed,Ordinary School,CATHOLIC,DUBLIN,KNOCKLYON,312319.612,227330.486
2485,Dublin City,ST PATRICKS,ST PATRICKS CLOSE  DUBLIN 8,19480V,01 4540588,18,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,315134.899,233472.627
2490,Dublin City,SN NAOMH FINNIN,GLENTIES PARK  RIVERMOUNT  FINGLAS SOUTH  DUBLIN 11,19489Q,01 8341130,221,Mixed,Ordinary School,CATHOLIC,DUBLIN,RIVERMOUNT,312370.000,238017.000
2491,Dublin Belgard/South,SCOIL MHUIRE,BALLYBODEN  DUBLIN 16,19490B,01 4931967,222,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYBODEN,314159.053,226711.379
2494,Dublin Belgard/South,BISHOP GALVIN NS,ORWELL PARK  TEMPLEOGUE  DUBLIN 16,19494J,01 4566652,438,Mixed,Ordinary School,CATHOLIC,DUBLIN,WILLINGTON,312151.708,228821.329
2496,Dublin City,SCOIL FHIACHRA SOISIR,BEAUMONT  DUBLIN 5,19496N,01 8472367,647,Mixed,Ordinary School,CATHOLIC,DUBLIN,BEAUMONT,318037.773,238889.982
2497,Dun Laoghaire - Rathdown,SCOIL MHUIRE,SHANKILL  CO DUBLIN,19497P,01 2823507,306,Mixed,Ordinary School,CATHOLIC,DUBLIN,SHANKILL,325449.322,222264.166
2499,Dublin Belgard/South,SCOIL AENGHUSA JUN NS,BALROTHERY  TALLAGHT  DUBLIN 24,19502F,01 4513912,185,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,TYMON NORTH",310381.667,228221.251
2500,Dublin Belgard/South,SCOIL CHRONAIN,SRAID MOR  RATH CUIL  CO ATHA CLIATH,19503H,01 4588889,221,Mixed,All Irish School,CATHOLIC,DUBLIN,SAGGART,302250.187,226785.567
2501,Dublin Fingal,SN OILIBHEIR,BAILE AN BHLACAIGH  CLUAIN SAILEACH  BAILE ATHA CLIATH 15,19505L,01 8215277,230,Mixed,All Irish School,CATHOLIC,DUBLIN,BLANCHARDSTOWN,306651.094,238638.563
2505,Dublin Belgard/South,SCOIL NANO NAGLE,BAWNOGE  CLONDALKIN  DUBLIN 22,19509T,01 4571306,316,Mixed,Ordinary School,CATHOLIC,DUBLIN,BAWNOGE,305764.000,231804.000
2506,Dublin Belgard/South,TALBOT SENIOR NS,BAWNOGE  CLONDALKIN  DUBLIN 22,19510E,01 4571226,301,Mixed,Ordinary School,CATHOLIC,DUBLIN,BAWNOGE,305781.332,231796.313
2509,Dublin Fingal,SN NAOMH TREASA,BAILE BRIGIN  CO ATH CLIATH,19515O,01 8416270,450,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALBRIGGAN,320922.466,263053.366
2512,Dublin City,OUR LADY IMMAC SEN N S,OUR LADY IMMAC SEN NS  DARNDALE  DUBLIN 17,19524P,01 8470749,272,Mixed,Ordinary School,CATHOLIC,DUBLIN,DARNDALE,320208.403,240568.791
2518,Dublin Fingal,S N MUIRE AGUS IOSEF,BAYSIDE  SUTTON  DUBLIN 13,19533Q,01 8393682,442,Mixed,Ordinary School,CATHOLIC,DUBLIN,BAYSIDE,323321.692,239285.264
2520,Dublin Fingal,BRACKENSTOWN SENIOR N S,BRACKENSTOWN  SWORDS  CO DUBLIN,19535U,01 8403488,630,Mixed,Ordinary School,CATHOLIC,DUBLIN,BRACKENSTOWN,317188.235,246872.955
2522,Dun Laoghaire - Rathdown,ST ATTRACTAS JUNIOR N S,MEADOWBROOK  DUNDRUM  DUBLIN 16,19537B,01 2984352,351,Mixed,Ordinary School,CATHOLIC,DUBLIN,MEADOWBROOK,316353.000,227012.000
2523,Dublin City,ST KEVINS JUNIOR N S,NEWBROOK AVE  DONAGHMEDE  DUBLIN 13,19538D,01 8475969,121,Mixed,Ordinary School,CATHOLIC,DUBLIN,DONAGHMEDE,322589.275,240046.564
2525,Dublin Belgard/South,BELGARD HEIGHTS N S,SCOIL ARD MHUIRE  BELGARD HEIGHTS  TALLAGHT  DUBLIN 24,19541P,01 4517134,230,Mixed,Ordinary School,CATHOLIC,DUBLIN,SPRINGFIELD,307679.278,228749.787
2527,Dublin Fingal,CORDUFF N S,CORDUFF  BLANCHARDSTOWN  DUBLIN 15,19545A,01 8211546,337,Mixed,Ordinary School,CATHOLIC,DUBLIN,CORDUFF,308078.615,239946.201
2528,Dublin City,ST OLIVER PLUNKETT N S,ST OLIVER PLUNKETT NS  ST HELENAS DRIVE  FINGLAS  DUBLIN 11,19546C,01 8344678,151,Mixed,Ordinary School,CATHOLIC,DUBLIN,RIVERMOUNT,313187.000,238175.000
2529,Dublin Fingal,ST FINTANS NS,ST FINTAN N S  CARRICKBRACK RD  SUTTON  DUBLIN 13,19549I,01 8391067,391,Mixed,Ordinary School,CATHOLIC,DUBLIN,SUTTON,326806.372,238354.638
